feature,relative_mean_shift
total_sessions,0.0
avg_session_duration,0.0
active_days,0.0
daily_activity_std,0.0
sessions_per_day,0.0
active_days_ratio,0.0
days_since_last_active,0.0
sessions_last_7d,0.0
sessions_prev_7d,0.0
session_trend_ratio,0.0
feature_entropy,0.0
unique_features_used,0.0
